group1,group2,meandiff,p-adj,lower,upper
0.1_70,0.7_90,5629.16,0.001,3245.3873,8012.9327
0.1_70,0.9_10,-15307.02,0.001,-17690.7927,-12923.2473
0.1_70,0.9_30,-10185.7,0.001,-12569.4727,-7801.9273
0.1_70,0.9_50,-4928.8,0.001,-7312.5727,-2545.0273
0.1_70,0.9_90,4854.42,0.001,2470.6473,7238.1927
0.1_90,0.3_10,-20664.6,0.001,-23048.3727,-18280.8273
0.1_90,0.3_30,-15834.8,0.001,-18218.5727,-13451.0273
0.1_90,0.3_50,-10717.14,0.001,-13100.9127,-8333.3673
0.1_90,0.3_70,-5611.06,0.001,-7994.8327,-3227.2873
0.1_90,0.5_10,-20628.54,0.001,-23012.3127,-18244.7673
0.1_90,0.5_30,-15781.62,0.001,-18165.3927,-13397.8473
0.1_90,0.5_50,-10889.1,0.001,-13272.8727,-8505.3273
0.1_90,0.5_70,-5275.96,0.001,-7659.7327,-2892.1873
0.1_90,0.7_10,-20442.6,0.001,-22826.3727,-18058.8273
0.1_90,0.7_30,-15211.12,0.001,-17594.8927,-12827.3473
0.1_90,0.7_50,-10041.58,0.001,-12425.3527,-7657.8073
0.1_90,0.7_70,-5033.72,0.001,-7417.4927,-2649.9473
0.1_90,0.9_10,-20521.04,0.001,-22904.8127,-18137.2673
0.1_90,0.9_30,-15399.72,0.001,-17783.4927,-13015.9473
0.1_90,0.9_50,-10142.82,0.001,-12526.5927,-7759.0473
0.1_90,0.9_70,-5768.98,0.001,-8152.7527,-3385.2073
0.3_10,0.3_30,4829.8,0.001,2446.0273,7213.5727
0.3_10,0.3_50,9947.46,0.001,7563.6873,12331.2327
0.3_10,0.3_70,15053.54,0.001,12669.7673,17437.3127
0.3_10,0.3_90,19393.4,0.001,17009.6273,21777.1727
0.3_10,0.5_30,4882.98,0.001,2499.2073,7266.7527
0.3_10,0.5_50,9775.5,0.001,7391.7273,12159.2727
0.3_10,0.5_70,15388.64,0.001,13004.8673,17772.4127
0.3_10,0.5_90,19935.96,0.001,17552.1873,22319.7327
0.3_10,0.7_30,5453.48,0.001,3069.7073,7837.2527
0.3_10,0.7_50,10623.02,0.001,8239.2473,13006.7927
0.3_10,0.7_70,15630.88,0.001,13247.1073,18014.6527
0.3_10,0.7_90,21079.74,0.001,18695.9673,23463.5127
0.3_10,0.9_30,5264.88,0.001,2881.1073,7648.6527
0.3_10,0.9_50,10521.78,0.001,8138.0073,12905.5527
0.3_10,0.9_70,14895.62,0.001,12511.8473,17279.3927
0.3_10,0.9_90,20305.0,0.001,17921.2273,22688.7727
0.3_30,0.3_50,5117.66,0.001,2733.8873,7501.4327
0.3_30,0.3_70,10223.74,0.001,7839.9673,12607.5127
0.3_30,0.3_90,14563.6,0.001,12179.8273,16947.3727
0.3_30,0.5_10,-4793.74,0.001,-7177.5127,-2409.9673
0.3_30,0.5_50,4945.7,0.001,2561.9273,7329.4727
0.3_30,0.5_70,10558.84,0.001,8175.0673,12942.6127
0.3_30,0.5_90,15106.16,0.001,12722.3873,17489.9327
0.3_30,0.7_10,-4607.8,0.001,-6991.5727,-2224.0273
0.3_30,0.7_50,5793.22,0.001,3409.4473,8176.9927
0.3_30,0.7_70,10801.08,0.001,8417.3073,13184.8527
0.3_30,0.7_90,16249.94,0.001,13866.1673,18633.7127
0.3_30,0.9_10,-4686.24,0.001,-7070.0127,-2302.4673
0.3_30,0.9_50,5691.98,0.001,3308.2073,8075.7527
0.3_30,0.9_70,10065.82,0.001,7682.0473,12449.5927
0.3_30,0.9_90,15475.2,0.001,13091.4273,17858.9727
0.3_50,0.3_70,5106.08,0.001,2722.3073,7489.8527
0.3_50,0.3_90,9445.94,0.001,7062.1673,11829.7127
0.3_50,0.5_10,-9911.4,0.001,-12295.1727,-7527.6273
0.3_50,0.5_30,-5064.48,0.001,-7448.2527,-2680.7073
0.3_50,0.5_70,5441.18,0.001,3057.4073,7824.9527
0.3_50,0.5_90,9988.5,0.001,7604.7273,12372.2727
0.3_50,0.7_10,-9725.46,0.001,-12109.2327,-7341.6873
0.3_50,0.7_30,-4493.98,0.001,-6877.7527,-2110.2073
0.3_50,0.7_70,5683.42,0.001,3299.6473,8067.1927
0.3_50,0.7_90,11132.28,0.001,8748.5073,13516.0527
0.3_50,0.9_10,-9803.9,0.001,-12187.6727,-7420.1273
0.3_50,0.9_30,-4682.58,0.001,-7066.3527,-2298.8073
0.3_50,0.9_70,4948.16,0.001,2564.3873,7331.9327
0.3_50,0.9_90,10357.54,0.001,7973.7673,12741.3127
0.3_70,0.3_90,4339.86,0.001,1956.0873,6723.6327
0.3_70,0.5_10,-15017.48,0.001,-17401.2527,-12633.7073
0.3_70,0.5_30,-10170.56,0.001,-12554.3327,-7786.7873
0.3_70,0.5_50,-5278.04,0.001,-7661.8127,-2894.2673
