instance_id,instance_number,method,B,S,P,init_time,phase2_time,repair_time,ls_time,total_time,phase2_obj,split_resolved_obj,post_repair_obj,post_ls_obj,num_split_bus,prop_split_bus,activity_violations_initial,risk_violations_initial,remaining_violations,ls_iterations,total_ls_improvement,successful_moves_simple,successful_moves_interchange,successful_moves_deactivate,status,error_message
inst_17_first_instance_set_medium_2000_400_30,17,multi_p_median,2000,400,30,105.36500000953674,5.915999889373779,0.004000186920166016,3.5269999504089355,114.85800004005432,1.420426879479703e6,1.420638e6,1.420638e6,1.389232e6,74,0.037,0,0,0,2,31406.0,1,1,0,success,
inst_17_first_instance_set_medium_2000_400_30,17,multi_p_median_benders,2000,400,30,173.9229998588562,5.908999919891357,0.004000186920166016,3.549999952316284,183.43899989128113,1.420426879479703e6,1.420638e6,1.420638e6,1.389232e6,74,0.037,0,0,0,2,31406.0,1,1,0,success,
inst_18_first_instance_set_medium_2000_400_30,18,relaxed,2000,400,30,0.0,0.0,0.0,0.0,308.52300000190735,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_18_first_instance_set_medium_2000_400_30,18,pdisp,2000,400,30,0.0019998550415039062,6.828000068664551,0.017999887466430664,49.567999839782715,56.42799997329712,2.5715992431545244e6,2.571609e6,2.570734e6,1.556636e6,84,0.042,1,1,0,7,1.014098e6,6,5,4,success,
inst_18_first_instance_set_medium_2000_400_30,18,multi_pdp,2000,400,30,300.35000014305115,6.484999895095825,0.004999876022338867,21.54200005531311,328.4130001068115,1.7829725164928194e6,1.786161e6,1.786304e6,1.506265e6,80,0.04,0,1,0,4,280039.0,3,3,2,success,
inst_18_first_instance_set_medium_2000_400_30,18,multi_p_median,2000,400,30,62.81500005722046,6.358999967575073,0.003999948501586914,6.128999948501587,75.34899997711182,1.4325732076488934e6,1.43366e6,1.434985e6,1.403252e6,79,0.0395,0,1,0,2,31733.0,1,1,0,success,
inst_18_first_instance_set_medium_2000_400_30,18,multi_p_median_benders,2000,400,30,55.170000076293945,5.586999893188477,0.007999897003173828,7.40500020980835,68.20199990272522,1.4349275075480752e6,1.435931e6,1.437605e6,1.403951e6,78,0.039,0,2,0,3,33654.0,2,1,0,success,
inst_19_first_instance_set_medium_2000_400_30,19,relaxed,2000,400,30,308.135999917984,6.480999946594238,0.01900005340576172,45.54699993133545,360.2699999809265,3.041280630842112e6,3.039336e6,3.044754e6,2.583477e6,89,0.0445,0,5,0,5,461277.0,4,4,2,success,
inst_19_first_instance_set_medium_2000_400_30,19,pdisp,2000,400,30,0.002000093460083008,5.20199990272522,0.01699995994567871,37.086000204086304,42.33200001716614,2.5505672640523077e6,2.549688e6,2.549688e6,1.679671e6,81,0.0405,0,0,0,6,870017.0,5,5,3,success,
inst_19_first_instance_set_medium_2000_400_30,19,multi_pdp,2000,400,30,300.3179998397827,6.499000072479248,0.01699995994567871,12.272000074386597,319.1569998264313,1.7425096761590221e6,1.743816e6,1.743816e6,1.644145e6,79,0.0395,0,0,0,3,99671.0,2,2,1,success,
inst_19_first_instance_set_medium_2000_400_30,19,multi_p_median,2000,400,30,305.31500005722046,6.628999948501587,0.006000041961669922,6.069999933242798,318.05599999427795,1.4680679424446614e6,1.466148e6,1.466148e6,1.430854e6,81,0.0405,0,0,0,3,35294.0,2,2,0,success,
inst_19_first_instance_set_medium_2000_400_30,19,multi_p_median_benders,2000,400,30,232.8349997997284,5.6579999923706055,0.01900005340576172,6.091000080108643,244.62299990653992,1.4680679424446614e6,1.466148e6,1.466148e6,1.430854e6,81,0.0405,0,0,0,3,35294.0,2,2,0,success,
inst_1_first_instance_set_medium_2000_400_30,1,relaxed,2000,400,30,0.0,0.0,0.0,0.0,308.8159999847412,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_1_first_instance_set_medium_2000_400_30,1,pdisp,2000,400,30,0.0019998550415039062,6.374000072479248,0.010999917984008789,50.41200017929077,56.823999881744385,2.7965164959360426e6,2.796955e6,2.802381e6,2.064569e6,85,0.0425,0,3,0,6,737812.0,5,5,3,success,
inst_1_first_instance_set_medium_2000_400_30,1,multi_pdp,2000,400,30,300.27100014686584,6.250999927520752,0.010999917984008789,21.608999967575073,328.1730000972748,1.762890201387705e6,1.762905e6,1.762905e6,1.564384e6,81,0.0405,0,0,0,5,198521.0,4,4,2,success,
inst_1_first_instance_set_medium_2000_400_30,1,multi_p_median,2000,400,30,267.29500007629395,6.447999954223633,0.009999990463256836,8.065999984741211,281.86899995803833,1.438413345937696e6,1.436489e6,1.437381e6,1.402483e6,80,0.04,1,0,0,3,34898.0,2,2,0,success,
inst_1_first_instance_set_medium_2000_400_30,1,multi_p_median_benders,2000,400,30,157.25300002098083,5.7200000286102295,0.006000041961669922,7.807000160217285,170.8140001296997,1.438413345937696e6,1.436489e6,1.437381e6,1.402483e6,80,0.04,1,0,0,3,34898.0,2,2,0,success,
inst_20_first_instance_set_medium_2000_400_30,20,relaxed,2000,400,30,307.5620000362396,6.547999858856201,0.015000104904174805,23.11400008201599,337.26900005340576,2.2251633052236694e6,2.223661e6,2.2243e6,1.821638e6,86,0.043,0,2,0,7,402662.0,6,6,3,success,
inst_20_first_instance_set_medium_2000_400_30,20,pdisp,2000,400,30,0.003000020980834961,5.130000114440918,0.01399993896484375,49.72099995613098,54.90900015830994,2.612864706140863e6,2.610039e6,2.61341e6,1.896997e6,88,0.044,0,3,0,15,716413.0,14,14,2,success,
inst_20_first_instance_set_medium_2000_400_30,20,multi_pdp,2000,400,30,300.2739999294281,6.337000131607056,0.01399993896484375,18.83399987220764,325.4930000305176,1.737691443226297e6,1.739652e6,1.739652e6,1.536139e6,82,0.041,0,0,0,5,203513.0,3,3,2,success,
inst_20_first_instance_set_medium_2000_400_30,20,multi_p_median,2000,400,30,126.00200009346008,6.260999917984009,0.010999917984008789,6.867000102996826,139.1600000858307,1.5072933545147965e6,1.50692e6,1.50692e6,1.446681e6,84,0.042,0,0,0,2,60239.0,1,1,1,success,
inst_20_first_instance_set_medium_2000_400_30,20,multi_p_median_benders,2000,400,30,136.99699997901917,5.962000131607056,0.006999969482421875,6.902000188827515,149.93600010871887,1.5072933545147965e6,1.50692e6,1.50692e6,1.446681e6,84,0.042,0,0,0,2,60239.0,1,1,1,success,
inst_21_first_instance_set_medium_2000_400_30,21,relaxed,2000,400,30,0.0,0.0,0.0,0.0,308.6229999065399,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_21_first_instance_set_medium_2000_400_30,21,pdisp,2000,400,30,0.003999948501586914,7.989000082015991,0.0,56.967000007629395,64.98900008201599,2.4323639207895896e6,2.429578e6,2.431627e6,1.596077e6,85,0.0425,0,1,0,7,835550.0,6,6,4,success,
inst_21_first_instance_set_medium_2000_400_30,21,multi_pdp,2000,400,30,300.4430000782013,6.796000003814697,0.002000093460083008,23.905999898910522,331.15700006484985,1.7002298526774575e6,1.700181e6,1.700181e6,1.489052e6,78,0.039,0,0,0,5,211129.0,4,4,1,success,
inst_21_first_instance_set_medium_2000_400_30,21,multi_p_median,2000,400,30,305.2699999809265,6.914000034332275,0.01100015640258789,8.27899980545044,320.5069999694824,1.4630466076841208e6,1.463122e6,1.463122e6,1.426769e6,73,0.0365,0,0,0,3,36353.0,2,1,0,success,
inst_21_first_instance_set_medium_2000_400_30,21,multi_p_median_benders,2000,400,30,186.79800009727478,6.180999994277954,0.0,6.634000062942505,199.63299989700317,1.4667628772134949e6,1.468095e6,1.468095e6,1.428343e6,76,0.038,0,0,0,3,39752.0,2,1,0,success,
inst_22_first_instance_set_medium_2000_400_30,22,relaxed,2000,400,30,0.0,0.0,0.0,0.0,307.9140000343323,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_22_first_instance_set_medium_2000_400_30,22,pdisp,2000,400,30,0.003999948501586914,6.926000118255615,0.009999990463256836,47.73099994659424,54.706000089645386,2.682651041741875e6,2.682035e6,2.68327e6,1.75815e6,85,0.0425,0,2,0,6,925120.0,5,5,2,success,
inst_22_first_instance_set_medium_2000_400_30,22,multi_pdp,2000,400,30,300.2850000858307,6.790999889373779,0.0070002079010009766,13.045000076293945,320.14800000190735,1.8098170693152726e6,1.808323e6,1.808323e6,1.62541e6,78,0.039,0,0,0,4,182913.0,3,2,1,success,
inst_22_first_instance_set_medium_2000_400_30,22,multi_p_median,2000,400,30,305.5019998550415,6.871000051498413,0.0009999275207519531,9.377000093460083,321.760999917984,1.462509300320461e6,1.460424e6,1.460424e6,1.434314e6,73,0.0365,0,0,0,3,26110.0,2,1,1,success,
inst_22_first_instance_set_medium_2000_400_30,22,multi_p_median_benders,2000,400,30,140.21399998664856,5.9040000438690186,0.003000020980834961,9.075999975204468,155.60899996757507,1.462509300320461e6,1.460424e6,1.460424e6,1.434314e6,73,0.0365,0,0,0,3,26110.0,2,1,1,success,
inst_23_first_instance_set_medium_2000_400_30,23,relaxed,2000,400,30,308.1210000514984,6.374000072479248,0.014999866485595703,61.623000144958496,376.15499997138977,2.885234440033051e6,2.884935e6,2.889517e6,2.187236e6,87,0.0435,0,2,0,5,702281.0,4,4,2,success,
inst_23_first_instance_set_medium_2000_400_30,23,pdisp,2000,400,30,0.0019998550415039062,5.481000185012817,0.01699995994567871,44.80499982833862,50.33500003814697,2.7244212088927776e6,2.713796e6,2.722211e6,1.639714e6,89,0.0445,0,6,0,5,1.082497e6,4,4,3,success,
inst_23_first_instance_set_medium_2000_400_30,23,multi_pdp,2000,400,30,300.40300011634827,6.686999797821045,0.014000177383422852,21.006999969482422,328.13300013542175,1.73388290810922e6,1.734462e6,1.734328e6,1.539811e6,79,0.0395,0,1,0,4,194517.0,3,3,2,success,
inst_23_first_instance_set_medium_2000_400_30,23,multi_p_median,2000,400,30,177.71299982070923,6.28000020980835,0.00599980354309082,3.622999906539917,187.64400005340576,1.4352823156058856e6,1.434758e6,1.435225e6,1.410756e6,82,0.041,0,1,0,2,24469.0,1,1,0,success,
