instance_id,instance_number,method,B,S,P,init_time,phase2_time,repair_time,ls_time,total_time,phase2_obj,split_resolved_obj,post_repair_obj,post_ls_obj,num_split_bus,prop_split_bus,activity_violations_initial,risk_violations_initial,remaining_violations,ls_iterations,total_ls_improvement,successful_moves_simple,successful_moves_interchange,successful_moves_deactivate,status,error_message
inst_1_first_instance_set_small_1000_200_15,1,multi_pdp,1000,200,15,9.361999988555908,1.2780001163482666,0.0009999275207519531,0.9240000247955322,11.58400011062622,1.2710905247613362e6,1.273191e6,1.273191e6,1.182595e6,38,0.038,0,0,0,4,90596.0,3,3,1,success,
inst_1_first_instance_set_small_1000_200_15,1,multi_p_median,1000,200,15,7.581000089645386,1.5980000495910645,0.003999948501586914,0.28099989891052246,9.490000009536743,1.0444040435639031e6,1.04397e6,1.04397e6,1.021269e6,41,0.041,0,0,0,2,22701.0,1,1,0,success,
inst_1_first_instance_set_small_1000_200_15,1,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.06399989128113,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_20_first_instance_set_small_1000_200_15,20,relaxed,1000,200,15,182.67300009727478,1.6649999618530273,0.004999876022338867,0.40600013732910156,184.77500009536743,1.0533697434499934e6,1.050203e6,1.050203e6,1.037792e6,33,0.033,0,0,0,2,12411.0,1,1,0,success,
inst_20_first_instance_set_small_1000_200_15,20,pdisp,1000,200,15,0.0,1.5699999332427979,0.003000020980834961,2.121000051498413,3.7200000286102295,2.358568801333343e6,2.362125e6,2.362961e6,1.432157e6,43,0.043,0,1,0,4,930804.0,3,3,2,success,
inst_20_first_instance_set_small_1000_200_15,20,multi_pdp,1000,200,15,20.00600004196167,1.3289999961853027,0.01900005340576172,0.27899980545043945,21.651000022888184,1.202601665258921e6,1.202323e6,1.202323e6,1.183671e6,33,0.033,0,0,0,2,18652.0,1,1,0,success,
inst_20_first_instance_set_small_1000_200_15,20,multi_p_median,1000,200,15,11.700000047683716,1.6050000190734863,0.010999917984008789,0.9279999732971191,14.26200008392334,1.0589286240191807e6,1.059594e6,1.059594e6,1.027956e6,39,0.039,0,0,0,3,31638.0,2,2,1,success,
inst_20_first_instance_set_small_1000_200_15,20,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.06900000572205,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_21_first_instance_set_small_1000_200_15,21,relaxed,1000,200,15,182.47800016403198,1.685999870300293,0.015000104904174805,0.5479998588562012,184.75500011444092,1.0726151683260105e6,1.07037e6,1.07037e6,1.044664e6,41,0.041,0,0,0,3,25706.0,2,1,0,success,
inst_21_first_instance_set_small_1000_200_15,21,pdisp,1000,200,15,0.0,1.5499999523162842,0.002000093460083008,3.384999990463257,4.960999965667725,2.1902027403169526e6,2.191103e6,2.193312e6,1.733668e6,41,0.041,0,1,0,7,459644.0,6,5,3,success,
inst_21_first_instance_set_small_1000_200_15,21,multi_pdp,1000,200,15,19.430999994277954,1.3279998302459717,0.015000104904174805,1.1790001392364502,22.02300000190735,1.320896241530645e6,1.318753e6,1.318753e6,1.245817e6,38,0.038,0,0,0,4,72936.0,3,2,2,success,
inst_21_first_instance_set_small_1000_200_15,21,multi_p_median,1000,200,15,19.5939998626709,1.505000114440918,0.004999876022338867,0.46000003814697266,21.590999841690063,1.0409597707332699e6,1.040611e6,1.040611e6,1.009837e6,39,0.039,0,0,0,2,30774.0,1,1,0,success,
inst_21_first_instance_set_small_1000_200_15,21,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.0659999847412,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_22_first_instance_set_small_1000_200_15,22,relaxed,1000,200,15,165.94799995422363,1.6549999713897705,0.006000041961669922,0.31399989128112793,167.94299983978271,988604.3327773642,989263.0,989263.0,976450.0,37,0.037,0,0,0,3,12813.0,2,1,0,success,
inst_22_first_instance_set_small_1000_200_15,22,pdisp,1000,200,15,0.0,1.5399999618530273,0.003000020980834961,1.127000093460083,2.697000026702881,2.0613795809195219e6,2.064605e6,2.064605e6,1.753299e6,39,0.039,0,0,0,3,311306.0,2,2,1,success,
inst_22_first_instance_set_small_1000_200_15,22,multi_pdp,1000,200,15,19.664999961853027,1.312999963760376,0.00800013542175293,0.5060000419616699,21.51099991798401,1.247693499630074e6,1.246148e6,1.248172e6,1.225814e6,37,0.037,0,1,0,2,22358.0,1,1,0,success,
inst_22_first_instance_set_small_1000_200_15,22,multi_p_median,1000,200,15,28.704999923706055,1.5509998798370361,0.0029997825622558594,0.23800015449523926,30.53499984741211,1.0519542768183714e6,1.052981e6,1.052991e6,1.030596e6,40,0.04,0,1,0,2,22395.0,1,1,0,success,
inst_22_first_instance_set_small_1000_200_15,22,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.0659999847412,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_23_first_instance_set_small_1000_200_15,23,relaxed,1000,200,15,113.2829999923706,1.6640000343322754,0.002000093460083008,0.3659999370574951,115.34299993515015,1.0148034863435637e6,1.014034e6,1.014034e6,1.000442e6,37,0.037,0,0,0,2,13592.0,1,1,0,success,
inst_23_first_instance_set_small_1000_200_15,23,pdisp,1000,200,15,0.0,1.5469999313354492,0.005000114440917969,0.7589998245239258,2.322999954223633,2.0790374882089263e6,2.073482e6,2.081509e6,2.053972e6,42,0.042,0,3,0,2,27537.0,1,1,0,success,
inst_23_first_instance_set_small_1000_200_15,23,multi_pdp,1000,200,15,19.01099991798401,1.562000036239624,0.006999969482421875,0.806999921798706,21.401000022888184,1.3174419424655482e6,1.317126e6,1.317126e6,1.224294e6,38,0.038,0,0,0,3,92832.0,2,2,1,success,
inst_23_first_instance_set_small_1000_200_15,23,multi_p_median,1000,200,15,24.566999912261963,1.630000114440918,0.01399993896484375,0.35500001907348633,26.591000080108643,1.020490203831062e6,1.019549e6,1.019549e6,1.005674e6,34,0.034,0,0,0,2,13875.0,1,1,0,success,
inst_23_first_instance_set_small_1000_200_15,23,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.08599996566772,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_24_first_instance_set_small_1000_200_15,24,relaxed,1000,200,15,182.20600008964539,1.9149999618530273,0.013000011444091797,0.2569999694824219,184.40700006484985,1.056443907812636e6,1.055989e6,1.055989e6,1.035806e6,36,0.036,0,0,0,2,20183.0,1,1,0,success,
inst_24_first_instance_set_small_1000_200_15,24,pdisp,1000,200,15,0.0,1.570000171661377,0.004999876022338867,2.570000171661377,4.178000211715698,1.8607589534020494e6,1.862892e6,1.864458e6,1.442574e6,42,0.042,0,2,0,4,421884.0,3,2,1,success,
inst_24_first_instance_set_small_1000_200_15,24,multi_pdp,1000,200,15,10.014000177383423,1.2939999103546143,0.013000011444091797,1.1549999713897705,12.496000051498413,1.3018413447149675e6,1.303259e6,1.303259e6,1.212129e6,38,0.038,0,0,0,4,91130.0,3,2,1,success,
inst_24_first_instance_set_small_1000_200_15,24,multi_p_median,1000,200,15,7.7209999561309814,1.5900001525878906,0.01399993896484375,0.44099998474121094,9.772000074386597,1.0295504985923015e6,1.030608e6,1.030608e6,1.005888e6,36,0.036,0,0,0,3,24720.0,2,1,0,success,
inst_24_first_instance_set_small_1000_200_15,24,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.07500004768372,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_25_first_instance_set_small_1000_200_15,25,relaxed,1000,200,15,182.53900003433228,1.7249999046325684,0.01100015640258789,0.3659999370574951,184.65700006484985,1.1556928663264962e6,1.156494e6,1.156494e6,1.132841e6,35,0.035,0,0,0,2,23653.0,1,1,0,success,
inst_25_first_instance_set_small_1000_200_15,25,pdisp,1000,200,15,0.0,1.5480000972747803,0.01900005340576172,2.740000009536743,4.322000026702881,2.2541088424228383e6,2.251431e6,2.256468e6,1.612588e6,45,0.045,0,4,0,4,643880.0,3,3,2,success,
inst_25_first_instance_set_small_1000_200_15,25,multi_pdp,1000,200,15,14.950000047683716,1.3380000591278076,0.01399993896484375,1.0490000247955322,17.366000175476074,1.2881702730405207e6,1.28995e6,1.28995e6,1.230433e6,38,0.038,0,0,0,4,59517.0,3,3,1,success,
inst_25_first_instance_set_small_1000_200_15,25,multi_p_median,1000,200,15,29.407999992370605,1.5109999179840088,0.010999917984008789,0.6880002021789551,31.64199995994568,1.0432577907322017e6,1.04127e6,1.04127e6,1.02433e6,37,0.037,0,0,0,3,16940.0,2,2,0,success,
inst_25_first_instance_set_small_1000_200_15,25,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.06299996376038,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_2_first_instance_set_small_1000_200_15,2,relaxed,1000,200,15,182.15399980545044,1.690999984741211,0.01100015640258789,0.3539998531341553,184.22599983215332,1.1207570235718223e6,1.12e6,1.12e6,1.103252e6,33,0.033,0,0,0,3,16748.0,2,1,0,success,
inst_2_first_instance_set_small_1000_200_15,2,pdisp,1000,200,15,0.0009999275207519531,1.5310001373291016,0.011999845504760742,4.763000011444092,6.325000047683716,2.0604537145809778e6,2.063108e6,2.067441e6,1.202144e6,45,0.045,0,3,0,7,865297.0,6,6,5,success,
inst_2_first_instance_set_small_1000_200_15,2,multi_pdp,1000,200,15,22.028000116348267,1.304999828338623,0.01100015640258789,0.46899986267089844,23.835999965667725,1.2656860273482737e6,1.266514e6,1.266514e6,1.245992e6,40,0.04,0,0,0,2,20522.0,1,1,0,success,
inst_2_first_instance_set_small_1000_200_15,2,multi_p_median,1000,200,15,9.620999813079834,1.6010000705718994,0.003999948501586914,0.24300003051757812,11.493000030517578,1.0396414335044915e6,1.039994e6,1.039994e6,1.023183e6,39,0.039,0,0,0,2,16811.0,1,1,0,success,
inst_2_first_instance_set_small_1000_200_15,2,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.0569999217987,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_3_first_instance_set_small_1000_200_15,3,relaxed,1000,200,15,182.45700001716614,1.7250001430511475,0.011999845504760742,0.9149999618530273,185.1230001449585,1.199709872536998e6,1.199595e6,1.199595e6,1.100753e6,39,0.039,0,0,0,3,98842.0,2,2,1,success,
inst_3_first_instance_set_small_1000_200_15,3,pdisp,1000,200,15,0.0009999275207519531,1.559000015258789,0.01399993896484375,1.1549999713897705,2.749000072479248,2.241189702624615e6,2.244106e6,2.244085e6,2.105569e6,44,0.044,0,1,0,3,138516.0,2,2,1,success,
inst_3_first_instance_set_small_1000_200_15,3,multi_pdp,1000,200,15,13.990999937057495,1.3530001640319824,0.004999876022338867,1.1779999732971191,16.54800009727478,1.2772596016889152e6,1.279405e6,1.281834e6,1.124483e6,41,0.041,0,1,0,3,157351.0,2,2,1,success,
inst_3_first_instance_set_small_1000_200_15,3,multi_p_median,1000,200,15,74.00200009346008,1.5869998931884766,0.009999990463256836,0.7210001945495605,76.33500003814697,1.0724573516827119e6,1.072994e6,1.075862e6,1.039366e6,41,0.041,0,1,0,3,36496.0,2,1,0,success,
