Alloc,B,BeatGurobi,BestBound,Diff%,Gap%,ID,Loc,P,S,TimeOptim,TotalTimeGRASP,ValueGRASP,ValueOptim,alpha_a,alpha_l,iters
queue,625,false,461040.141,0.0681744351921164,0.06975401877682294,12,pdisp,32,78,1800,7828,495611,461823,0.1,0.7,50
queue,625,false,461040.141,0.03867986386486402,0.040309445155649916,12,pdisp,32,78,1800,11227,480405,461823,0.1,0.7,75
queue,625,false,461040.141,0.053546360187805744,0.05515074054566954,12,pdisp,32,78,1800,14442,487951,461823,0.1,0.7,100
queue,625,false,461040.141,0.05396513897907888,0.05556880944430901,12,pdisp,32,78,1800,3864,488167,461823,0.3,0.7,25
queue,625,false,461040.141,0.07808167494116026,0.07964446427395061,12,pdisp,32,78,1800,7359,500937,461823,0.3,0.7,50
queue,625,false,461040.141,0.04861543152143908,0.05022817054027217,12,pdisp,32,78,1800,11073,485422,461823,0.3,0.7,75
queue,625,false,461040.141,0.05138259544242643,0.05299064370488745,12,pdisp,32,78,1800,13822,486838,461823,0.3,0.7,100
queue,625,false,461040.141,0.07719190974595068,0.07875620736371375,12,pdisp,32,78,1800,3758,500454,461823,0.5,0.7,25
queue,625,false,461040.141,0.06735584923340387,0.06893682044364023,12,pdisp,32,78,1800,7427,495176,461823,0.5,0.7,50
queue,625,false,461040.141,0.0690985541308962,0.07067657119590084,12,pdisp,32,78,1800,10321,496103,461823,0.5,0.7,75
queue,625,false,461040.141,0.052659109650580314,0.054264994030695755,12,pdisp,32,78,1800,14394,487494,461823,0.5,0.7,100
queue,625,false,461040.141,0.059764484565676804,0.0613583242734813,12,pdisp,32,78,1800,4473,491178,461823,0.7,0.7,25
queue,625,false,461040.141,0.061569973360318456,0.06316075249480312,12,pdisp,32,78,1800,7860,492123,461823,0.7,0.7,50
queue,625,false,461040.141,0.05681690537799989,0.058415741673014825,12,pdisp,32,78,1800,10759,489643,461823,0.7,0.7,75
queue,625,false,461040.141,0.06013187618291715,0.061725093107027285,12,pdisp,32,78,1800,13749,491370,461823,0.7,0.7,100
queue,625,false,468091.441,0.08186003304269092,0.08262154163947408,13,pdisp,32,78,1800,3663,510249,468480,0.1,0.1,25
queue,625,false,468091.441,0.07070851334785351,0.07147927105525208,13,pdisp,32,78,1800,7232,504126,468480,0.1,0.1,50
queue,625,false,468091.441,0.06984501387846515,0.07061648777543493,13,pdisp,32,78,1800,11086,503658,468480,0.1,0.1,75
queue,625,false,468091.441,0.04946830850888993,0.05025668291871341,13,pdisp,32,78,1800,14681,492861,468480,0.1,0.1,100
queue,625,false,468091.441,0.07588701866649834,0.07665348130292673,13,pdisp,32,78,1800,3930,506951,468480,0.3,0.1,25
queue,625,false,468091.441,0.06928509699913579,0.07005703529318276,13,pdisp,32,78,1800,8617,503355,468480,0.3,0.1,50
queue,625,false,468091.441,0.07260882217282083,0.07337800375723288,13,pdisp,32,78,1800,10961,505159,468480,0.3,0.1,75
queue,625,false,468091.441,0.04978642100010953,0.05057453156628658,13,pdisp,32,78,1800,14517,493026,468480,0.3,0.1,100
queue,625,false,468091.441,0.059958544107584666,0.06073821787820477,13,pdisp,32,78,1800,4042,498361,468480,0.5,0.1,25
queue,625,false,468091.441,0.061846668962920834,0.06262477671598275,13,pdisp,32,78,1800,7417,499364,468480,0.5,0.1,50
queue,625,false,468091.441,0.06445080818126266,0.0652267560518738,13,pdisp,32,78,1800,10528,500754,468480,0.5,0.1,75
queue,625,false,468091.441,0.060363916434004045,0.061143253987356004,13,pdisp,32,78,1800,14453,498576,468480,0.5,0.1,100
queue,625,false,468091.441,0.06709069221440506,0.06786445055568723,13,pdisp,32,78,1800,4018,502171,468480,0.7,0.1,25
queue,625,false,468091.441,0.05074140565162242,0.051528724150088565,13,pdisp,32,78,1800,7194,493522,468480,0.7,0.1,50
queue,625,false,468091.441,0.06174896657801134,0.06252715536578334,13,pdisp,32,78,1800,10330,499312,468480,0.7,0.1,75
queue,625,false,468091.441,0.07156305119007511,0.07233310014070832,13,pdisp,32,78,1800,13727,504590,468480,0.7,0.1,100
queue,625,false,468091.441,0.07244540360742076,0.07321472073177977,13,pdisp,32,78,1800,3855,505070,468480,0.1,0.3,25
queue,625,false,468091.441,0.051360348612112326,0.0521471537570569,13,pdisp,32,78,1800,7311,493844,468480,0.1,0.3,50
queue,625,false,468091.441,0.06221474897910161,0.06299255144527185,13,pdisp,32,78,1800,10916,499560,468480,0.1,0.3,75
queue,625,false,468091.441,0.04711539243843106,0.047905718365321266,13,pdisp,32,78,1800,14221,491644,468480,0.1,0.3,100
queue,625,false,468091.441,0.07918918015838229,0.07995290397017116,13,pdisp,32,78,1800,3545,508769,468480,0.3,0.3,25
queue,625,false,468091.441,0.06548282788790102,0.06625791979764896,13,pdisp,32,78,1800,7188,501307,468480,0.3,0.3,50
queue,625,false,468091.441,0.05189982291930179,0.05268618062231219,13,pdisp,32,78,1800,10915,494125,468480,0.3,0.3,75
queue,625,false,468091.441,0.06340714439939543,0.06418395788850773,13,pdisp,32,78,1800,13198,500196,468480,0.3,0.3,100
